Polish name,Scientific name
świergotek tajgowy,Anthus hodgsoni
siwerniak,Anthus spinoletta
świergotek nadmorski,Anthus petrosus
świergotek szponiasty,Anthus richardi
świergotek stepowy,Anthus godlewskii
świergotek polny,Anthus campestris
pliszka żółta,Motacilla flava
pliszka syberyjska,Motacilla tschutschensis
pliszka górska,Motacilla cinerea
pliszka cytrynowa,Motacilla citreola
pliszka siwa,Motacilla alba
zięba,Fringilla coelebs
jer,Fringilla montifringilla
grubodziób,Coccothraustes coccothraustes
dziwonia,Carpodacus erythrinus
łuskowiec,Pinicola enucleator
gil,Pyrrhula pyrrhula
gilak pustynny,Bucanetes githagineus
dzwoniec,Chloris chloris
makolągwa,Linaria cannabina
rzepołuch,Linaria flavirostris
czeczotka brązowa,Acanthis cabaret lub Acanthis flammea cabaret
czeczotka,Acanthis flammea
czeczotka tundrowa,Acanthis hornemanni
krzyżodziób sosnowy,Loxia pytyopsittacus
krzyżodziób świerkowy,Loxia curvirostra
krzyżodziób modrzewiowy,Loxia leucoptera
szczygieł,Carduelis carduelis
osetnik,Carduelis citrinella
kulczyk,Serinus serinus
czyż,Spinus spinus
poświerka,Calcarius lapponicus
śnieguła,Plectrophenax nivalis
potrzeszcz,Emberiza calandra
trznadel,Emberiza citrinella
trznadel białogłowy,Emberiza leucocephalos
głuszek,Emberiza cia
ortolan,Emberiza hortulana
cierlik,Emberiza cirlus
trznadelek,Schoeniclus pusillus
trznadel złotobrewy,Schoeniclus chrysophrys
trznadel czubaty,Schoeniclus rusticus
trznadel złotawy,Schoeniclus aureolus
trznadel czarnogłowy,Granativora melanocephala
trznadel rudogłowy,Granativora bruniceps
trznadel szarogłowy,Emberiza spodocephala
potrzos,Schoeniclus schoeniclus
junko,Junco hyemalis
bagiennik żółtobrewy,Passerculus sandwichensis